,,,,,Roughness_Overflow,Roughness_Absolute,Roughness_Square,Roughness_Overflow_Overflow,Roughness_Overflow_Absolute,Roughness_Overflow_Square,Roughness_Absolute_Overflow,Roughness_Absolute_Absolute,Roughness_Absolute_Square,Roughness_Square_Overflow,Roughness_Square_Absolute,Roughness_Square_Square,Opacity,Blue,Green,Red,Corner Count,Corner Proportion,Horizontal Thickness,Vertical Thickness,Average Thickness,
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 0 i=7, j= 1","Brown Alpaca 0 i=7, j= 1 Mask 0.JPG",103.9037857,1.467162554,6.220549105,104.7999516,38.43063619,133.9787736,52.64223512,0.050919207,0.136187712,98.816582,1.937409289,13.12028302,93.9641028,149.8548104,167.3375461,186.6532624,24,0.001451291,47.7286062,44.82643307,46.27751964,1
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 1 i=7, j= 1","Brown Alpaca 1 i=7, j= 1 Mask 0.JPG",103.9037857,1.467162554,6.220549105,104.7999516,38.43063619,133.9787736,52.64223512,0.050919207,0.136187712,98.816582,1.937409289,13.12028302,93.9641028,149.8548104,167.3375461,186.6532624,24,0.001451291,47.7286062,44.82643307,46.27751964,1
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 10 i=5, j= 2","Brown Alpaca 10 i=5, j= 2 Mask 0.JPG",99.01545117,0.976328801,3.036650185,102.9932633,39.24462299,133.4147095,44.82348578,0.021508035,0.049320148,87.74524104,0.951174289,4.196538937,75.61543005,151.2785366,170.9992584,188.0116186,54,0.003337247,45.70621469,43.23494829,44.47058149,0
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 10 i=6, j= 2","Brown Alpaca 10 i=6, j= 2 Mask 3.JPG",96.31519766,0.82079063,2.39057101,100.9861201,38.78471449,134.9126794,41.23601757,0.014641288,0.030512445,80.20468521,0.674904832,2.576808199,68.67022947,161.7630007,183.4744671,205.4038416,34,0.001991099,44.69895288,25.01789894,34.85842591,1
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 11 i=5, j= 2","Brown Alpaca 11 i=5, j= 2 Mask 0.JPG",99.01545117,0.976328801,3.036650185,102.9932633,39.24462299,133.4147095,44.82348578,0.021508035,0.049320148,87.74524104,0.951174289,4.196538937,75.61543005,151.2785366,170.9992584,188.0116186,54,0.003337247,45.70621469,43.23494829,44.47058149,0
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 11 i=6, j= 2","Brown Alpaca 11 i=6, j= 2 Mask 3.JPG",96.31519766,0.82079063,2.39057101,100.9861201,38.78471449,134.9126794,41.23601757,0.014641288,0.030512445,80.20468521,0.674904832,2.576808199,68.67022947,161.7630007,183.4744671,205.4038416,34,0.001991099,44.69895288,25.01789894,34.85842591,0
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 16 i=6, j= 2","Brown Alpaca 16 i=6, j= 2 Mask 0.JPG",95.04742797,0.801999737,2.373108801,100.9038942,39.54959874,135.1099855,38.64820418,0.01526115,0.031837916,78.35061176,0.643402184,2.465333509,56.13446074,167.7553772,186.6956522,203.5206867,0,0,45.97786303,45.00394357,45.4909033,1
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 16 i=6, j= 3","Brown Alpaca 16 i=6, j= 3 Mask 1.JPG",92.90545506,0.699901074,1.938877897,102.2494347,41.27218768,136.6057094,36.88135953,0.011941775,0.025862069,74.19855851,0.500989259,1.729437535,74.28465014,166.2116159,186.5908995,203.2672225,86,0.00607645,33.66437754,40.14442688,36.90440221,1
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 16 i=7, j= 1","Brown Alpaca 16 i=7, j= 1 Mask 0.JPG",101.5028254,1.194533269,4.384773753,101.1293092,36.31744711,132.775023,47.44942836,0.035568794,0.088264926,91.01138902,1.36558763,7.874676946,80.56725574,160.1351292,175.7254052,190.3958388,13,0.000569426,34.37770612,46.97325103,40.67547857,1
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 17 i=6, j= 2","Brown Alpaca 17 i=6, j= 2 Mask 0.JPG",95.04742797,0.801999737,2.373108801,100.9038942,39.54959874,135.1099855,38.64820418,0.01526115,0.031837916,78.35061176,0.643402184,2.465333509,56.13446074,167.7553772,186.6956522,203.5206867,0,0,45.97786303,45.00394357,45.4909033,1
